Unnamed: 0,Unnamed: 1
,นนทบุรี  กองระบาดวิทยา กรมควบคุมโรค  พัสดุชำรุด  จำนวน  107  รายการ
,นนทบุรี  สมาคมฌาปนกิจสงเคราะห์ฯ  ยานพาหนะ  จำนวน  1  คัน
,นนทบุรี  สนง.สส.ชสอ.  ยานพาหนะ  จำนวน  1  คัน
,ปทุมธานี  กฟภ.  เศษสายไฟชำรุด  จำนวน  10  รายการ
,ปทุมธานี  ศาลจังหวัด  พัสดุ  จำนวน  78  รายการ
,แม่ฮ่องสอน  ศูนย์วิจัยและบำรุงพันธุ์สัตว์  ยานพาหนะ  พัสดุชำรุด  จำนวน  4  รายการ
,ระยอง  สนง.เกษตรอำเภอแกลง  ไม้สักทอง  จำนวน  2  รายการ
,มหาสารคาม  สนง.ทางหลวงที่  8  ครุภัณฑ์ชำรุด  จำนวน  72  รายการ
,ลพบุรี  แขวงทางหลวงที่  2  วัสดุไฟฟ้าชำรุด  จำนวน 13  รายการ
,ลพบุรี  ศูนย์อำนวยการสร้างอาวุธ  รถยนต์บรรทุก  จำนวน  1  คัน
,สงขลา  ศูนย์วิจัยและพัฒนาสุขภาพสัตว์น้ำ  ครุภัณฑ์ชำรุด  จำนวน  44  รายการ
,สมุทรสงคราม  รพ.สมเด็จพระพุทธเลิศหล้า  อาคารพักพยาบาล  จำนวน  20  ห้อง
12 มี.ค. 2569,กทม.  รพ.ศิริราช  พัสดุชำรุด  จำนวน  273  รายการ
,ขอนแก่น  ทต.เมืองเก่า  ทรัพย์สิน  จำนวน  77  รายการ
,ขอนแก่น  สนง.บังคับคดี  ยานพาหนะ  จำนวน  1  คัน(ขจ9898)
,ขอนแก่น  สนง.บังคับคดี  รถยนต์  จำนวน  1  คัน(กว501)
,ตรัง  แขวงทางหลวง  อาคารบ้านพัก  จำนวน  3  หลัง
,ตรัง  สนง.สรรพากรพื้นที่  พัสดุชำรุด  จำนวน  163  รายการ
,นครปฐม  สนง.บังคับคดี  เครื่องซักผ้า  จำนวน  26  เครื่อง
,นครราชสีมา  ปปส.ภาค 3  ทรัพย์สิน  จำนวน  73  รายการ
,"นครราชสีมา  มทส.  เก้าอี้  จำนวน  1,153  ตัว"
,นครราชสีมา  สนง.บังคับคดี  รถกระบะบรรทุก  จำนวน  1  คัน
,นครราชสีมา  สนง.บังคับคดี  รถแทร็กเตอร์  จำนวน  1  คัน
,นครราชสีมา  สนง.บังคับคดี  รถบรรทุก  จำนวน  1  คัน
,นครราชสีมา  สนง.บังคับคดี  รถยนต์  จำนวน  1  คัน(กท4246)
,นครราชสีมา  สนง.บังคับคดี  รถยนต์  จำนวน  1  คัน(งท3078)
,นครศรีธรรมราช  ศูนย์วิจัยและบำรุงพันธุ์สัตว์  ยานพาหนะ  จำนวน  1  รายการ
,นครสวรรค์  นิคมสร้างตนเองตากฟ้า  พัสดุชำรุด  จำนวน  8  รายการ
,ปัตตานี  สนง.ธนารักษ์พื้นที่  ไม้พะยอม  จำนวน  30  ท่อน
,แพร่  การยางแห่งประเทศไทย  ยานพาหนะ  จำนวน  1  คัน
,ภูเก็ต  ปปส.ภาค 8  เรือ  จำนวน  1  รายการ
,ภูเก็ต  สนง.บังคับคดี  ป้ายทะเบียนประมูลจากกรมขนส่ง
,ศรีสะเกษ  สพม.  อาคารเรียน  จำนวน  1  รายการ
,สงขลา  สนง.ทางหลวงที่  18  เศษเหล็กและยางรถยนต์  จำนวน  8  รายการ
,สิงห์บุรี  สนง.วัฒนธรรมจังหวัด  ยานพาหนะ  จำนวน  2  คัน
,สุโขทัย  สนง.บังคับคดี  ทรัพย์  จำนวน  17  รายการ
,อุบลราชธานี  ที่ว่าการอำเภอน้ำยืน  ยานพาหนนะ  จำนวน  1  รายการ
13 มี.ค. 2569,กทม.  กรมทางหลวง  แบตเตอร์รี่ชำรุด  จำนวน  5  รายการ
,กทม.  กรมทางหลวง  ยางรถยนต์และเศษเหล็กชำรุด  จำนวน  4  รายการ
,กทม.  สนง.บังคับคดี  ทรัพย์  จำนวน  2  รายการ
,กาญจนบุรี  กฟภ.  หม้อแปลงชำรุด  จำนวน  188  เครื่อง
,เชียงใหม่  รร.บ้านหนองโค้ง  รถโดยสาร  จำนวน  1  รายการ
,ตราด  แขวงทางหลวง  ครุภัณฑ์ชำรุด  จำนวน  12  รายการ
,นครปฐม  สนง.บังคับคดี  เครื่องจักร  จำนวน  8  รายการ
,นครศรีธรรมราช  รพ.สต.บ้านร่อน  พัสดุชำรุด  จำนวน  41  รายการ
,บุรีรัมย์  สนง.อัยการฯ  ยานพาหนะ  พัสดุ  จำนวน  10  รายการ
,ระยอง  กฟภ.  มิเตอร์ชำรุด  จำนวน  711  เครื่อง
,สกลนคร  ศาลจังหวัดสว่างแดนดิน  ยานพาหนะ  จำนวน  1  รายการ
,สมุทรปราการ  สนง.บังคับคดี  ทรัพย์  จำนวน  45  รายการ
,สุราษฎร์ธานี  ปปส.  ทรัพย์สิน  จำนวน  70  รายการ  (เลื่อนวันประกาศ)
14 มี.ค. 2569,กทม.  สนง.บังคับคดี  หุ้นตามสำเนาบัญชีรายชื่อผู้ถือหุ้น
16 มี.ค. 2569,กทม.  สนง.บังคับคดี  รถยนต์  จำนวน  1  รายการ  (1กต65)
,กทม.  สำนักจดหมายเหตุแห่งชาติ  ครุภัณฑ์ชำรุด  จำนวน  99  รายการ
,กระบี่  รพ.คลองท่อม  พัสดุชำรุด  จำนวน  35  รายการ
,ชัยภูมิ  รร.บ้านเดื่อวิทยาคม  ยานพาหนะ  จำนวน  1  คัน
,นครศรีธรรมราช  แขวงทางหลวงที่  1  ยานพาหนะ  จำนวน  2  รายการ
,ปทุมธานี  สนง.บังคับคดี  เครื่องจักร  จำนวน  14  รายการ
,ปราจีนบุรี  แขวงทางหลวง  ยานพาหนะ  จำนวน  2  รายการ
,ภูเก็ต  สนง.บังคับคดี  ทรัพย์  จำนวน  18  รายการ
17 มี.ค. 2569,กทม.  กฟภ.  พัสดุชำรุด  จำนวน  4  รายการ
,กทม.  กรมประมง  พัสดุชำรุด  จำนวน  54  รายการ
,กาญจนบุรี  สนง.สรรพากรพื้นที่  พัสดุชำรุด  จำนวน  174  รายการ
